Model Name (ID's which detail page to populate),Date,Announced/Updated,Update,"Link (""Learn More"")",Unique ID
BPCI Model 2: Retrospective Acute & Post Acute Care Episode,5/23/2012,,BPCI Models 2-4: Updated Application Guidance document (PDF) posted for Models 2-4 applicants,http://innovation.cms.gov/Files/x/BundledPaymentsAppGuidance.pdf,12
BPCI Model 2: Retrospective Acute & Post Acute Care Episode,11/4/2011,,BPCI Models 2-4: Letter of Intent to Apply due, ,13
BPCI Model 2: Retrospective Acute & Post Acute Care Episode,8/23/2011,,Bundled Payments for Care Improvement Initiative,https://innovation.cms.gov/innovation-models/bundled-payments,14
BPCI Model 3: Retrospective Post Acute Care Only,1/31/2013,,Participants in Model 1 and Phase 1 of Models 2-4 of the Bundled Payments for Care Improvement initiative.,http://innovation.cms.gov/initiatives/Bundled-Payments/index.html,15
BPCI Model 3: Retrospective Post Acute Care Only,9/6/2012,,Models 2-4 application review & next steps 09/12.,http://innovation.cms.gov/resources/Bundled-Payments-for-Care-Improvement-Models-2-3-and-4-Application-Considerations-and-Next-Steps.html,16
BPCI Model 3: Retrospective Post Acute Care Only,6/28/2012,,BPCI Models 2-4: Applications due, ,17
BPCI Model 3: Retrospective Post Acute Care Only,6/20/2012,,"BPCI Models 2-4: Online application ICD-9 Code exclusions, important application information posted",http://innovation.cms.gov/initiatives/Bundled-Payments/model2-4appinfo.html,18
BPCI Model 3: Retrospective Post Acute Care Only,5/23/2012,,BPCI Models 2-4: Updated Application Guidance document (PDF) posted for Models 2-4 applicants,http://innovation.cms.gov/Files/x/BundledPaymentsAppGuidance.pdf,19
BPCI Model 3: Retrospective Post Acute Care Only,11/4/2011,,BPCI Models 2-4: Letter of Intent to Apply due, ,20
BPCI Model 3: Retrospective Post Acute Care Only,8/23/2011,,Bundled Payments for Care Improvement Initiative,https://innovation.cms.gov/innovation-models/bundled-payments,21
BPCI Model 4: Prospective Acute Care Hospital Stay Only,1/31/2013,,Participants in Model 1 and Phase 1 of Models 2-4 of the Bundled Payments for Care Improvement initiative.,http://innovation.cms.gov/initiatives/Bundled-Payments/index.html,22
BPCI Model 4: Prospective Acute Care Hospital Stay Only,9/6/2012,,Models 2-4 application review & next steps 09/12.,http://innovation.cms.gov/resources/Bundled-Payments-for-Care-Improvement-Models-2-3-and-4-Application-Considerations-and-Next-Steps.html,23
BPCI Model 4: Prospective Acute Care Hospital Stay Only,6/28/2012,,BPCI Models 2-4: Applications due, ,24
BPCI Model 4: Prospective Acute Care Hospital Stay Only,6/20/2012,,"BPCI Models 2-4: Online application ICD-9 Code exclusions, important application information posted",http://innovation.cms.gov/initiatives/Bundled-Payments/model2-4appinfo.html,25
BPCI Model 4: Prospective Acute Care Hospital Stay Only,5/23/2012,,BPCI Models 2-4: Updated Application Guidance document (PDF) posted for Models 2-4 applicants,http://innovation.cms.gov/Files/x/BundledPaymentsAppGuidance.pdf,26
BPCI Model 4: Prospective Acute Care Hospital Stay Only,11/4/2011,,BPCI Models 2-4: Letter of Intent to Apply due, ,27
BPCI Model 4: Prospective Acute Care Hospital Stay Only,8/23/2011,,Bundled Payments for Care Improvement Initiative,https://innovation.cms.gov/innovation-models/bundled-payments,28
Community-based Care Transitions Program,1/15/2013,,35 new sites selected to participate in the Community-based  Care Transitions Program.,http://innovation.cms.gov/initiatives/CCTP/Round-4.html,29
Community-based Care Transitions Program,8/17/2012,,Community-based Care Transitions Program: Announced: 17  new partners.,http://innovation.cms.gov/initiatives/CCTP/Round-3.html,30
Community-based Care Transitions Program,7/12/2012,,"07/12 webinar dial-in number: (800) 700-7784, Code 253449.",http://innovation.cms.gov/resources/CCTP_HowtoApply.html,31
Comprehensive Primary Care Initiative,8/22/2012,,500 Participating Primary Care Practices,https://innovation.cms.gov/innovation-models/comprehensive-primary-care-initiative,36
Comprehensive Primary Care Model,7/26/2012,,Practice application period ends, ,37
Comprehensive Primary Care Model,6/25/2012,,Webinar video for primary care practitioners held 6/19 posted,http://innovation.cms.gov/resources/CPCi-Webinar-for-PCPs.html,38
Comprehensive Primary Care Model,10/28/2011,,Comprehensive Primary Care Initiative initiative announced, ,39
Financial Alignment Initiative for Medicare-Medicaid Enrollees,2/22/2013,,Illinois approved to participate in Financial Alignment initiative.,http://innovation.cms.gov/initiatives/Financial-Alignment/index.html,40
Financial Alignment Initiative for Medicare-Medicaid Enrollees,12/12/2012,,Ohio approved to participate in Financial Alignment initiative.,http://innovation.cms.gov/initiatives/Financial-Alignment/index.html,41
Financial Alignment Initiative for Medicare-Medicaid Enrollees,10/25/2012,,Washington approved to participate in Financial Alignment initiative.,http://innovation.cms.gov/initiatives/Financial-Alignment/index.html,42
Financial Alignment Initiative for Medicare-Medicaid Enrollees,8/23/2012,,Memoranda of Understanding between CMS and Massachusetts for Financial Alignment Initiative,https://innovation.cms.gov/innovation-models/financial-alignment,43
FQHC Advanced Primary Care Practice Demonstration,10/24/2011,,FQHC Advanced Primary Care Practice Demonstration participants, ,44
FQHC Advanced Primary Care Practice Demonstration,6/6/2011,,FQHC Advanced Primary Care Practice Demonstration, ,45
Frontier Extended Stay Clinic Demonstration,4/15/2010,,First site begins Demonstration, ,46
Graduate Nurse Education Demonstration,7/30/2012,,Participating sites,https://innovation.cms.gov/innovation-models/gne,47
Graduate Nurse Education Demonstration,5/16/2012,,Revised Solicitation document posted, ,48
Graduate Nurse Education Demonstration,3/21/2012,,Graduate Nurse Education Demonstration, ,49
Health Care Innovation Awards,6/15/2012,,Second (final) batch of awardees, ,50
Health Care Innovation Awards,5/8/2012,,First batch of awardees announced, ,51
Health Care Innovation Awards,1/27/2012,,Applications due,https://innovation.cms.gov/innovation-models/health-care-innovation-awards,52
Health Care Innovation Awards,12/29/2011,,Letter of Intent to Apply due, ,53
Independence at Home Demonstration,8/10/2012,,Three participating consortia, ,54
Independence at Home Demonstration,4/26/2012,,15 participating individual practices, ,55
Independence at Home Demonstration,12/20/2011,,Independence at Home Demonstration, ,56
Initiative to Reduce Avoidable Hospitalizations Among Nursing Facility Residents,9/27/2012,,Seven participating organizations,http://innovation.cms.gov/initiatives/rahnfr/index.html,57
Initiative to Reduce Avoidable Hospitalizations Among Nursing Facility Residents,6/14/2012,,Applications due,https://innovation.cms.gov/innovation-models/rahnfr,58
Initiative to Reduce Avoidable Hospitalizations Among Nursing Facility Residents,5/7/2012,,Notice of Intent to Apply due,https://innovation.cms.gov/innovation-models/rahnfr,59
Innovation Advisors Program,1/3/2012,,Innovation Advisors announced,https://innovation.cms.gov/innovation-models/innovation-advisors-program,60
Innovation Advisors Program,11/15/2011,,Applications due,https://innovation.cms.gov/innovation-models/innovation-advisors-program,61
Innovation Advisors Program,10/17/2011,,Innovation Advisor initiative announced,https://innovation.cms.gov/innovation-models/innovation-advisors-program,62
Medicaid Emergency Psychiatric Demonstration,3/13/2012,,Participants announced,https://innovation.cms.gov/innovation-models/medicaid-emergency-psychiatric-demo,64
Medicaid Emergency Psychiatric Demonstration,8/9/2011,,Demonstration announced,https://innovation.cms.gov/innovation-models/medicaid-emergency-psychiatric-demo,65
Medicaid Incentives Program for the Prevention of Chronic Diseases,10/13/2011,,Participating states,https://innovation.cms.gov/innovation-models/mipcd,66
Medicaid Incentives Program for the Prevention of Chronic Diseases,5/2/2011,,Applications due,https://innovation.cms.gov/innovation-models/mipcd,67
Medicaid Incentives for the Prevention of Chronic Diseases Model,4/4/2011,,Voluntary Notice of Intent to Apply due.,https://innovation.cms.gov/innovation-models/mipcd,68
Medicaid Incentives Program for the Prevention of Chronic Diseases,2/23/2011,,Funding Opportunity announced,https://innovation.cms.gov/innovation-models/mipcd,69
Medicare Acute Care Episode (ACE) Demonstration,11/1/2010,,"Medicare Acute Care Episode (ACE) Demonstration: Exempla Saint Joseph Hospital of Denver, CO, and Lovelace Health System of Albuquerque, NM, begin demonstration.", ,70
Medicare Acute Care Episode (ACE) Demonstration,1/1/2010,,"Medicare Acute Care Episode (ACE) Demonstration: Oklahoma Heart Hospital of Oklahoma City, OK, begins demonstration", ,71
Medicare Acute Care Episode (ACE) Demonstration,6/1/2009,,"Baptist Health System of San Antonio, TX, begins demonstration.",https://innovation.cms.gov/innovation-models/ace,72
Medicare Acute Care Episode (ACE) Demonstration,5/1/2009,,"Hillcrest Medical Center of Tulsa, OK, begins demonstration",https://innovation.cms.gov/innovation-models/ace,73
Medicare Acute Care Episode (ACE) Demonstration,1/6/2009,,Participating sites announced,https://innovation.cms.gov/innovation-models/ace,74
Medicare Coordinated Care Demonstration,1/19/2001,,Participants announced,https://innovation.cms.gov/innovation-models/medicare-coordinated-care,75
Medicare Coordinated Care Demonstration,7/28/2000,,Demonstration announced,https://innovation.cms.gov/innovation-models/medicare-coordinated-care,76
Medicare Health Care Quality Demonstration,7/1/2009,,First round of participants begins,https://innovation.cms.gov/innovation-models/medicare-health-care-quality,77
Medicare Health Care Quality Demonstration,9/29/2006,,Second round of applications submitted,https://innovation.cms.gov/innovation-models/medicare-health-care-quality,78
Medicare Health Care Quality Demonstration,1/30/2006,,First round of applications due,https://innovation.cms.gov/innovation-models/medicare-health-care-quality,79
Medicare Hospital Gainsharing Demonstration,3/28/2011,,Medicare Hospital Gainsharing Demonstration: Report to Congress on Quality Improvement and Savings submitted,https://innovation.cms.gov/innovation-models/medicare-hospital-gainsharing,80
Medicare Hospital Gainsharing Demonstration,9/30/2011,,Medicare Hospital Gainsharing Demonstration ends,https://innovation.cms.gov/innovation-models/medicare-hospital-gainsharing,81
Medicare Hospital Gainsharing Demonstration,10/1/2008,,Demonstration begins,https://innovation.cms.gov/innovation-models/medicare-hospital-gainsharing,82
Medicare Hospital Gainsharing Demonstration, ,,Solicitation for applications released,https://innovation.cms.gov/innovation-models/medicare-hospital-gainsharing,83
Medicare Imaging Demonstration,2/2/2011,,Participants announced,https://innovation.cms.gov/innovation-models/medicare-imaging,84
Medicare Imaging Demonstration,10/21/2010,,Medicare Imaging Demonstration applications due, ,85
Medicare Imaging Demonstration,7/22/2010,,Medicare Imaging Demonstration announced,https://innovation.cms.gov/innovation-models/medicare-imaging,86
Multi-Payer Advanced Primary Care Practice,11/16/2010,,Participating states announced,https://innovation.cms.gov/innovation-models/multi-payer-advanced-primary-care-practice,87
Multi-Payer Advanced Primary Care Practice,7/2/2010,,Demonstration announced,https://innovation.cms.gov/innovation-models/multi-payer-advanced-primary-care-practice,88
Nursing Home Value-Based Purchasing Demonstration,7/1/2009,,Demonstration begins,https://innovation.cms.gov/innovation-models/nursing-home-value-based-purchasing,89
Physician Group Practice Transition Demonstration,12/31/2012,,Demonstration concludes,https://innovation.cms.gov/innovation-models/physician-group-practice-transition,91
Physician Group Practice Transition Demonstration,1/1/2011,,Physician Group Practice Transition Demonstration begins, ,92
Pioneer ACO Model,1/1/2012,,Pioneer ACO Model: Performance Period begins, ,94
Pioneer ACO Model,12/19/2011,,32 participants announced,https://innovation.cms.gov/innovation-models/pioneer-aco-model,95
Rural Community Hospital Demonstration,5/1/2011,,Hospitals selected to participate under Affordable Care Act mandate begin demonstration, ,97
Rural Community Hospital Demonstration,4/1/2011,,Eighteen hospitals announced as participants,https://innovation.cms.gov/innovation-models/rural-community-hospital,98
Rural Community Hospital Demonstration,11/1/2010,,Demonstration applications due, ,99
Rural Community Hospital Demonstration,8/1/2010,,New Solicitation posted per the Affordable Care Act,https://innovation.cms.gov/innovation-models/rural-community-hospital,100
Rural Community Hospital Demonstration,1/1/2004,,Thirteen hospitals announced as participants, ,101
State Innovation Models Initiative: Model Design Awards Round One,2/21/2013,,"6 Model Testing, 3 Model Pre-Testing, and 16 Model Design Awardees  for the State Innovation Models initiative.",http://innovation.cms.gov/initiatives/State-Innovations/,102
State Innovation Models Initiative: Model Design Awards Round One,9/24/2012,,State Innovation Models Initiative applications due., ,103
State Innovation Models Initiative: Model Design Awards Round One,9/17/2012,,State Innovation Models Initiative Updated: Application Submission Guidance posted and FAQs updated., ,104
State Innovation Models Initiative: Model Design Awards Round One,9/10/2012,,State Innovation Models 08/28 webinar materials posted.,http://innovation.cms.gov/resources/StateInnovationModels_ApplicationProcess.html,105
State Innovation Models Initiative: Model Design Awards Round One,8/24/2012,,State Innovation Models application deadline extended and 08/28 webinar.,http://innovation.cms.gov/resources/StateInnovationModels_ApplicationProcess.html,106
State Innovation Models Initiative: Model Design Awards Round One,8/22/2012,,State Innovation Models 08/14 webinar and 08/15 webinar materials posted,https://innovation.cms.gov/innovation-models/state-innovations-model-design,107
State Innovation Models Initiative: Model Pre-Test Awards,2/21/2013,,"6 Model Testing, 3 Model Pre-Testing, and 16 Model Design Awardees  for the State Innovation Models initiative.",http://innovation.cms.gov/initiatives/State-Innovations/index.html,108
State Innovation Models Initiative: Model Pre-Test Awards,9/24/2012,,State Innovation Models Initiative applications due., ,109
State Innovation Models Initiative: Model Pre-Test Awards,9/17/2012,,State Innovation Models Initiative Updated: Application Submission Guidance posted and FAQs updated., ,110
State Innovation Models Initiative: Model Pre-Test Awards,9/10/2012,,State Innovation Models 08/28 webinar materials posted.,http://innovation.cms.gov/resources/StateInnovationModels_ApplicationProcess.html,111
State Innovation Models Initiative: Model Pre-Test Awards,8/24/2012,,State Innovation Models application deadline extended and 08/28 webinar.,http://innovation.cms.gov/resources/StateInnovationModels_ApplicationProcess.html,112
State Innovation Models Initiative: Model Pre-Test Awards,8/22/2012,,State Innovation Models 08/14 webinar and 08/15 webinar materials posted,https://innovation.cms.gov/innovation-models/state-innovations-model-pre-testing,113
State Innovation Models Initiative: Model Testing Awards One,2/21/2013,,"6 Model Testing, 3 Model Pre-Testing, and 16 Model Design Awardees  for the State Innovation Models initiative.",http://innovation.cms.gov/initiatives/State-Innovations/index.html,114
State Innovation Models Initiative: Model Test Awards Round One,9/24/2012,,State Innovation Models Initiative applications due., ,115
State Innovation Models Initiative: Model Test Awards Round One,9/17/2012,,State Innovation Models Initiative Updated: Application Submission Guidance posted and FAQs updated., ,116
State Innovation Models Initiative: Model Test Awards Round One,9/10/2012,,State Innovation Models 08/28 webinar materials posted.,http://innovation.cms.gov/resources/StateInnovationModels_ApplicationProcess.html,117
State Innovation Models Initiative: Model Test Awards Round One,8/24/2012,,State Innovation Models application deadline extended and 08/28 webinar.,http://innovation.cms.gov/resources/StateInnovationModels_ApplicationProcess.html,118
State Innovation Models Initiative: Model Test Awards Round One,8/22/2012,,State Innovation Models 08/14 webinar and 08/15 webinar materials posted,https://innovation.cms.gov/innovation-models/state-innovations-model-testing,119
Strong Start for Mothers and Newborns Initiative: Enhanced Prenatal Care Models,2/15/2013,,27 Awardees of the Strong Start for Mothers and Newborns Initiative.,http://innovation.cms.gov/initiatives/Strong-Start-Strategy-2/index.html,120
Strong Start for Mothers and Newborns Initiative: Enhanced Prenatal Care Models,12/17/2012,,Strong Start 11/28 webinar Reducing Early Elective Deliveries materials posted.,http://innovation.cms.gov/resources/StrongStart_ReducingElectiveDeliveries.html,121
Strong Start for Mothers and Newborns Initiative: Enhanced Prenatal Care Models,11/15/2012,,Strong Start webinar Reducing Early Elective Deliveries on 11/28.,http://innovation.cms.gov/resources/StrongStart_ReducingElectiveDeliveries.html,122
Strong Start for Mothers and Newborns Initiative: Enhanced Prenatal Care Models,8/9/2012,,Cooperative Agreement Application due,https://innovation.cms.gov/innovation-models/strong-start-strategy-2,123
Strong Start for Mothers and Newborns Initiative: Enhanced Prenatal Care Models,8/8/2012,,Optional Letter of Intent to Apply due,https://innovation.cms.gov/innovation-models/strong-start-strategy-2,124
Strong Start for Mothers and Newborns Initiative: Enhanced Prenatal Care Models,7/31/2012,,Strong Start for Mothers and Newborns 07/25 webinar materials posted,http://innovation.cms.gov/resources/StrongStart_Baseline-Data-Sample.html,125
Comprehensive ESRD Care Initiative,4/12/2013,,Comprehensive ESRD Care Initiative document 'Total Medicare FFS ESRD Beneficiaries not aligned to Medicare ACOs by State' added.,http://innovation.cms.gov/initiatives/comprehensive-ESRD-care/index.html,126
Financial Alignment Initiative for Medicare-Medicaid Enrollees,3/27/2013,,California approved to participate in Financial Alignment initiative.,http://innovation.cms.gov/initiatives/Financial-Alignment/index.html,127
Comprehensive ESRD Care Initiative,3/13/2013,,"Comprehensive ESRD Care Initiative Letter of Intent deadline extended to May 15, 2013 and Application deadline extended to July 1, 2013.",http://innovation.cms.gov/initiatives/comprehensive-ESRD-care/index.html,128
Community-based Care Transitions Program,3/7/2013,,20 sites selected to participate in the Community-based Care Transitions Program.,http://innovation.cms.gov/initiatives/CCTP/Round-5.html,129
State Innovation Models Initiative: Model Design Awards Round One,3/8/2013,,Series of three conference calls for State Innovation Models Initiative,http://innovation.cms.gov/resources/Conference-Calls-State-Innovation-Models-Initiative.html,130
State Innovation Models Initiative: Model Pre-Testing Awards,3/8/2013,,Series of three conference calls for State Innovation Models Initiative,http://innovation.cms.gov/resources/Conference-Calls-State-Innovation-Models-Initiative.html,131
State Innovation Models Initiative: Model Testing Awards Round One,3/8/2013,,Series of three conference calls for State Innovation Models Initiative,http://innovation.cms.gov/resources/Conference-Calls-State-Innovation-Models-Initiative.html,132
Comprehensive ESRD Care Initiative,5/2/2013,,How to Apply webinar scheduled for May 8.,http://innovation.cms.gov/resources/Comprehensive-ESRD-Care-Apply.html,133
Comprehensive ESRD Care Initiative,5/3/2013,,Minimum beneficiary threshold for eligibility.,http://innovation.cms.gov/initiatives/comprehensive-ESRD-care/,134
Comprehensive ESRD Care Initiative,5/14/2013,,May 8 How to Apply webinar materials posted.,http://innovation.cms.gov/resources/Comprehensive-ESRD-Care-Apply.html,135
Health Care Innovation Awards,5/15/2013,,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/Health-Care-Innovation-Awards/Round-2,136
BPCI Model 1: Retrospective Acute Care Hospital Stay Only,5/16/2013,,Open period for additional organizations to be considered as participants.,http://innovation.cms.gov/initiatives/BPCI-Model-1/,137
Health Care Innovation Awards,5/17/2013,,Health Care Innovation Awards Round Two announcement audio recording posted.,http://innovation.cms.gov/resources/HCIA-Two.html,138
Health Care Innovation Awards,5/21/2013,,Health Care Innovation Awards Round Two Overview webinar.,http://innovation.cms.gov/resources/HCIA-Two-Overview.html,139
Health Care Innovation Awards,5/31/2013,,Health Care Innovation Awards Round Two Overview webinar materials posted.,http://innovation.cms.gov/resources/HCIA-Two-Overview.html,140
Health Care Innovation Awards,6/3/2013,,Health Care Innovation Awards Round Two Letter of Intent to Apply posted.,http://innovation.cms.gov/initiatives/Health-Care-Innovation-Awards/Round-2.html,141
Health Care Innovation Awards,6/6/2013,,Health Care Innovation Awards Round Two webinar-Overview Categories One and Two,http://innovation.cms.gov/resources/HCIA-Two-OverviewCat1-2.html,142
Health Care Innovation Awards,6/12/2013,,Health Care Innovation Awards Round Two webinar-Overview Categories Three and Four,http://innovation.cms.gov/resources/HCIA-Two-OverviewCat3-4.html,143
Health Care Innovation Awards,6/14/2013,,Health Care Innovation Awards Round Two webinar-Lower Costs Through Improvement,http://innovation.cms.gov/resources/HCIA-Two-Cost-Improvement.html,144
Health Care Innovation Awards,6/14/2013,,Health Care Innovation Awards Round Two application materials posted,http://innovation.cms.gov/initiatives/Health-Care-Innovation-Awards/Round-2.html,145
Comprehensive ESRD Care Initiative,6/20/2013,,Letter of Intent and Application due dates extended.,http://innovation.cms.gov/initiatives/comprehensive-ESRD-care/apply.html,146
Health Care Innovation Awards,6/21/2013,,Health Care Innovation Awards Round Two webinar-Success Measurement & Developing an Operational Plan,http://innovation.cms.gov/resources/HCIA-Two-SuccessOpPlan.html,147
Health Care Innovation Awards,6/26/2013,,Health Care Innovation Awards Round Two webinar-Achieving Lower Costs Through Improvement slides posted,http://innovation.cms.gov/resources/HCIA-Two-Cost-Improvement.html,148
Health Care Innovation Awards,6/27/2013,,Health Care Innovation Awards Round Two webinar-Overview Categories Three and Four slides posted,http://innovation.cms.gov/resources/HCIA-Two-OverviewCat3-4.html,149
Health Care Innovation Awards,7/2/2013,,Health Care Innovation Awards Round Two webinar-Developing Payment Models,http://innovation.cms.gov/resources/HCIA-Two-Payment-Mdls.html,150
Health Care Innovation Awards,7/10/2013,,Health Care Innovation Awards Round Two webinar-Application Road Map,http://innovation.cms.gov/resources/HCIA-Two-AppRdMap.html,151
Pioneer ACO Model,7/16/2013,,Press release on Performance Year 1 results posted under Additional Information,http://innovation.cms.gov/initiatives/Pioneer-ACO-Model/,152
Health Care Innovation Awards,7/17/2013,,Health Care Innovation Awards Round Two webinar-Submitting An Application & Technical Assistance,http://innovation.cms.gov/resources/HCIA-Two-TechAsst.html,153
Comprehensive ESRD Care Initiative,7/19/2013,,Letter of Intent and Application due dates extended.,http://innovation.cms.gov/initiatives/comprehensive-ESRD-care/apply.html,154
Comprehensive ESRD Care Initiative,7/26/2013,,Request for Applications (RFA) posted.,http://innovation.cms.gov/initiatives/comprehensive-ESRD-care/index.html,155
Comprehensive ESRD Care Initiative,7/26/2013,,Open Door Forum on revised Request for Applications (RFA),http://innovation.cms.gov/resources/CECODF3.html,156
Health Care Innovation Awards,7/26/2013,,Health Care Innovation Awards Round Two webinar-Application Road Map materials posted,http://innovation.cms.gov/resources/HCIA-Two-AppRdMap.html,157
Comprehensive ESRD Care Initiative,8/5/2013,,Open Door Forum transcript on revised Request for Applications (RFA) posted,http://innovation.cms.gov/resources/CECODF3.html,158
Health Care Innovation Awards,8/5/2013,,Health Care Innovation Awards Round Two frequently asked questions (FAQs) posted,http://innovation.cms.gov/initiatives/Health-Care-Innovation-Awards/faq-round-2.html,159
Financial Alignment Initiative for Medicare-Medicaid Enrollees,8/26/2013,,New York approved to participate in the Financial Alignment initiative.,http://innovation.cms.gov/initiatives/Financial-Alignment/,160
Medication Therapy Management in Chronically Ill Populations,9/23/2013,,Final report posted,http://innovation.cms.gov/Data-and-Reports/index.html,161
BPCI Model 2: Retrospective Acute & Post Acute Care Episode,10/1/2013,,"Phase 2, the risk-bearing phase, begins for nine Awardees.",http://innovation.cms.gov/initiatives/BPCI-Model-2/index.html,162
BPCI Model 3: Retrospective Post Acute Care Only,10/1/2013,,"Phase 2, the risk-bearing phase, begins for six Awardees.",http://innovation.cms.gov/initiatives/BPCI-Model-3/,163
BPCI Model 4: Prospective Acute Care Hospital Stay Only,10/1/2013,,"Phase 2, the risk-bearing phase, begins for one Awardee.",http://innovation.cms.gov/initiatives/BPCI-Model-4/index.html,164
Medicare Intravenous Immune Globulin (IVIG) Demonstration,11/6/2013,,"Open Door Forum scheduled for November 22, 2013",http://innovation.cms.gov/resources/IVIG-ODF.html,165
Medicare Intravenous Immune Globulin (IVIG) Demonstration,11/14/2013,,Slides posted for November 22 Open Door Forum,http://innovation.cms.gov/resources/IVIG-ODF.html,166
 ,12/5/2013,,Guide to Using Qualitative Comparative Analysis to Study Patient-Centered Medical Homes posted.,http://innovation.cms.gov/Data-and-Reports/index.html,167
 ,12/9/2013,,Evaluation of Community-based Wellness and Prevention Programs report posted,http://innovation.cms.gov/Data-and-Reports/index.html,168
Pioneer ACO Model,12/20/2013,,Request for Information (RFI) posted,http://innovation.cms.gov/initiatives/Pioneer-ACO-Model/,169
Medicare Intravenous Immune Globulin (IVIG) Demonstration,1/8/2014,,All materials from Open Door Forum posted,http://innovation.cms.gov/resources/IVIG-ODF.html,170
Financial Alignment Initiative for Medicare-Medicaid Enrollees,1/9/2014,,Massachusetts Evaluation Design Report posted,http://innovation.cms.gov/initiatives/Financial-Alignment/,171
Maryland All-Payer Model,1/10/2014,,"Innovative hospital services rate-setting  aimed to improve care, reduce costs",http://innovation.cms.gov/initiatives/Maryland-All-Payer-Model/,172
Financial Alignment Initiative for Medicare-Medicaid Enrollees,10/25/2013,,South Carolina approved to participate in the Financial Alignment initiative.,http://innovation.cms.gov/initiatives/Financial-Alignment/,173
Financial Alignment Initiative for Medicare-Medicaid Enrollees,9/12/2013,,Minnesota approved to participate in the Financial Alignment initiative.,http://innovation.cms.gov/initiatives/Financial-Alignment/,174
BPCI Model 1: Retrospective Acute Care Hospital Stay Only,1/1/2014,,Open Period awardee performance period begins.,http://innovation.cms.gov/initiatives/BPCI-Model-1/,175
BPCI Model 2: Retrospective Acute & Post Acute Care Episode,1/1/2014,,"Phase 2, risk-bearing period, begins for additional awardees.",http://innovation.cms.gov/initiatives/BPCI-Model-2/,176
BPCI Model 3: Retrospective Post Acute Care Only,1/1/2014,,"Phase 2, risk-bearing period, begins for additional awardees.",http://innovation.cms.gov/initiatives/BPCI-Model-3/,177
BPCI Model 4: Prospective Acute Care Hospital Stay Only,1/1/2014,,"Phase 2, risk-bearing period, begins for additional awardees.",http://innovation.cms.gov/initiatives/BPCI-Model-4/,178
Pioneer ACO Model,1/30/2014,,Evaluation report on Pioneer ACO savings posted,http://innovation.cms.gov/initiatives/Pioneer-ACO-Model/,179
Frontier Community Health Integration Project Demonstration,1/31/2014,,Frontier Community Health Integration Project Demonstration for rural counties,http://innovation.cms.gov/initiatives/Frontier-Community-Health-Integration-Project-Demonstration/,180
Frontier Community Health Integration Project Demonstration,2/6/2014,,Introduction webinar scheduled for  February 11,http://innovation.cms.gov/resources/FrontierCommunity_Intro.html,181
Specialty Practitioner Payment Model Opportunities: General Information,2/11/2014,,Specialty Practitioner Payment Model Opportunities seeking input on innovative models of payment and specialty care,Specialty Practitioner Payment Model Opportunities: General Information web page (http://innovation.cms.gov/initiatives/Specialty-Practitioner/),182
BPCI Model 2: Retrospective Acute & Post Acute Care Episode,2/14/2014,,Application open period,http://innovation.cms.gov/initiatives/BPCI-Model-2/index.html,183
BPCI Model 3: Retrospective Post Acute Care Only,2/14/2014,,Application open period,http://innovation.cms.gov/initiatives/BPCI-Model-3/index.html,184
BPCI Model 4: Prospective Acute Care Hospital Stay Only,2/14/2014,,Application open period,http://innovation.cms.gov/initiatives/BPCI-Model-4/index.html,185
